Date,Price,Open,High,Low,Vol.,Change %
4/9/2015,12009.60,11691.90,12009.60,11691.90,3.23M,2.16%
4/10/2015,12073.20,11946.10,12263.80,11946.10,5.07M,0.53%
4/13/2015,12073.20,12073.20,12200.20,11882.50,1.96M,0.00%
4/14/2015,12073.20,12073.20,12327.30,12009.60,6.71M,0.00%
4/15/2015,12073.20,11946.10,12136.70,11946.10,2.72M,0.00%
4/16/2015,12454.40,12073.20,12518.00,12073.20,6.48M,3.16%
4/17/2015,12263.80,12454.40,12581.50,12263.80,3.54M,-1.53%
4/20/2015,12136.70,12200.20,12263.80,12073.20,1.69M,-1.04%
4/21/2015,11946.10,12073.20,12263.80,11946.10,2.90M,-1.57%
4/22/2015,11819.00,11946.10,12073.20,11691.90,3.56M,-1.06%
4/23/2015,11819.00,11882.50,11946.10,11691.90,1.48M,0.00%
4/24/2015,12073.20,11882.50,12073.20,11882.50,901.77K,2.15%
4/27/2015,11946.10,12073.20,12200.20,11946.10,1.25M,-1.05%
5/4/2015,11120.00,11946.10,11946.10,11120.00,2.48M,-6.92%
5/5/2015,11437.70,11247.10,11501.30,10865.80,2.61M,2.86%
5/6/2015,11310.60,11437.70,11564.80,11183.60,1.00M,-1.11%
5/7/2015,11691.90,11183.60,11755.40,11183.60,1.02M,3.37%
5/8/2015,12041.70,11974.40,12109.00,11772.60,1.81M,2.99%
5/11/2015,11907.20,12041.70,12109.00,11907.20,612.72K,-1.12%
5/12/2015,11772.60,11907.20,11974.40,11503.50,1.88M,-1.13%
5/13/2015,11638.10,11772.60,11839.90,11436.30,2.13M,-1.14%
5/14/2015,11772.60,11638.10,11907.20,11503.50,1.06M,1.16%
5/15/2015,11638.10,11839.90,11907.20,11638.10,1.33M,-1.14%
5/18/2015,11503.50,11638.10,11705.40,11436.30,891.44K,-1.16%
5/19/2015,11638.10,11638.10,11705.40,11503.50,634.00K,1.17%
5/20/2015,11974.40,11638.10,12041.70,11638.10,1.45M,2.89%
5/21/2015,11974.40,12041.70,12176.30,11974.40,1.30M,0.00%
5/22/2015,12310.80,11974.40,12378.10,11974.40,2.49M,2.81%
5/25/2015,12512.60,12243.50,12579.90,12243.50,1.54M,1.64%
5/26/2015,12916.30,12512.60,12983.50,12445.30,3.76M,3.23%
5/27/2015,13118.10,12849.00,13387.20,12781.70,2.98M,1.56%
5/28/2015,13656.20,13185.30,13925.30,13050.80,3.97M,4.10%
5/29/2015,13589.00,13589.00,13925.30,13454.40,2.91M,-0.49%
6/1/2015,14059.90,13589.00,14530.80,13387.20,3.32M,3.47%
6/2/2015,13858.10,14059.90,14732.60,13790.80,4.87M,-1.44%
6/3/2015,13858.10,13925.30,14261.70,13589.00,2.25M,0.00%
6/4/2015,13858.10,13858.10,14194.40,13723.50,3.64M,0.00%
6/5/2015,14665.30,13790.80,14732.60,13790.80,3.87M,5.82%
6/8/2015,14665.30,15001.70,15203.50,14665.30,3.92M,0.00%
6/9/2015,14261.70,14665.30,14799.90,14127.10,4.10M,-2.75%
6/10/2015,14261.70,14261.70,14329.00,13858.10,3.45M,0.00%
6/11/2015,14396.20,14396.20,14598.10,14127.10,1.91M,0.94%
6/12/2015,14261.70,14396.20,14530.80,14194.40,1.70M,-0.93%
6/15/2015,14799.90,14329.00,14799.90,14261.70,2.69M,3.77%
6/16/2015,14463.50,14934.40,15069.00,14463.50,2.22M,-2.27%
6/17/2015,14463.50,14261.70,14598.10,14194.40,1.84M,0.00%
6/18/2015,14329.00,14463.50,14598.10,14329.00,917.72K,-0.93%
6/19/2015,14665.30,14530.80,14934.40,14463.50,2.56M,2.35%
6/22/2015,15136.20,14665.30,15136.20,14665.30,4.29M,3.21%
6/23/2015,15270.80,15136.20,15338.00,15001.70,2.58M,0.89%
6/24/2015,15203.50,15203.50,15270.80,15069.00,2.33M,-0.44%
6/25/2015,15270.80,15136.20,15338.00,14867.10,2.05M,0.44%
6/26/2015,14463.50,15270.80,15270.80,14463.50,3.90M,-5.29%
6/29/2015,14934.40,14329.00,15001.70,14261.70,2.83M,3.26%
6/30/2015,14867.10,14799.90,15270.80,14799.90,2.69M,-0.45%
7/1/2015,14732.60,14934.40,15001.70,14598.10,1.89M,-0.90%
7/2/2015,15741.70,14665.30,15741.70,14665.30,5.32M,6.85%
7/3/2015,16548.90,16145.30,16818.00,15809.00,3.56M,5.13%
7/6/2015,17019.90,16750.80,17221.70,16616.20,3.79M,2.85%
7/7/2015,17961.70,17019.90,18163.50,16616.20,4.12M,5.53%
7/8/2015,17423.50,17692.60,18432.60,16885.30,5.84M,-3.00%
7/9/2015,17019.90,16952.60,17625.30,16885.30,6.93M,-2.32%
7/10/2015,17288.90,17288.90,17423.50,17019.90,5.15M,1.58%
7/13/2015,17356.20,17288.90,17625.30,16952.60,3.18M,0.39%
7/14/2015,17759.80,17288.90,18096.20,17154.40,4.07M,2.33%
7/15/2015,17490.80,17827.10,18096.20,17356.20,3.84M,-1.51%
7/16/2015,17356.20,17356.20,17490.80,17019.90,2.63M,-0.77%
7/17/2015,17087.10,17288.90,17356.20,17087.10,2.11M,-1.55%
7/20/2015,16818.00,16818.00,17019.90,16481.70,3.54M,-1.57%
7/21/2015,16818.00,16818.00,17087.10,16683.50,2.63M,0.00%
7/22/2015,17759.80,16683.50,17759.80,16683.50,2.36M,5.60%
7/23/2015,17423.50,17827.10,18028.90,17423.50,4.00M,-1.89%
7/24/2015,17288.90,17423.50,17558.00,17221.70,1.92M,-0.77%
7/27/2015,17692.60,17221.70,17827.10,17221.70,2.30M,2.34%
7/28/2015,17490.80,17692.60,17961.70,17490.80,2.42M,-1.14%
7/29/2015,17356.20,17625.30,17759.80,17288.90,2.44M,-0.77%
7/30/2015,17423.50,17356.20,17558.00,17221.70,1.35M,0.39%
7/31/2015,17154.40,17625.30,17759.80,17154.40,2.05M,-1.54%
8/3/2015,16750.80,17019.90,17019.90,16347.10,4.67M,-2.35%
8/4/2015,15943.50,16750.80,16818.00,15876.20,3.95M,-4.82%
