Date,Price,Open,High,Low,Vol.,Change %
5/7/2014,9642.8,9520.00,9642.80,9397.20,326.20K,1.29%
5/8/2014,9151.5,9458.60,9458.60,9028.60,1.55M,-5.09%
5/9/2014,9520,9151.50,9520.00,9151.50,913.22K,4.03%
5/12/2014,9151.5,9458.60,9458.60,9090.10,1.13M,-3.87%
5/13/2014,9151.5,9090.10,9212.90,9090.10,837.33K,0.00%
5/14/2014,9581.4,9151.50,9581.40,9151.50,848.48K,4.70%
5/15/2014,9335.7,9397.20,9642.80,9335.70,748.77K,-2.56%
5/16/2014,9458.6,9274.30,9458.60,9212.90,459.77K,1.32%
5/19/2014,9397.2,9458.60,9520.00,9397.20,760.05K,-0.65%
5/20/2014,9397.2,9397.20,9458.60,9335.70,599.15K,0.00%
5/21/2014,9857.2,9660.00,9857.20,9594.30,742.87K,4.90%
5/22/2014,9594.3,9725.70,9857.20,9594.30,622.39K,-2.67%
5/23/2014,9660,9660.00,9725.70,9594.30,196.17K,0.68%
5/26/2014,9594.3,9660.00,9660.00,9528.60,336.37K,-0.68%
5/27/2014,9725.7,9660.00,9791.40,9594.30,675.14K,1.37%
5/28/2014,9725.7,9791.40,9857.20,9725.70,417.22K,0.00%
5/29/2014,9725.7,9725.70,9791.40,9725.70,399.84K,0.00%
5/30/2014,9791.4,9725.70,9791.40,9660.00,300.85K,0.68%
6/2/2014,9725.7,9857.20,9857.20,9660.00,269.02K,-0.67%
6/3/2014,9594.3,9725.70,9725.70,9594.30,165.00K,-1.35%
6/4/2014,9528.6,9660.00,9660.00,9528.60,285.51K,-0.68%
6/5/2014,9594.3,9528.60,9594.30,9462.90,192.58K,0.69%
6/6/2014,9594.3,9528.60,9594.30,9528.60,159.66K,0.00%
6/9/2014,9660,9594.30,9725.70,9528.60,396.75K,0.68%
6/10/2014,9528.6,9528.60,9660.00,9528.60,345.79K,-1.36%
6/11/2014,9594.3,9528.60,9594.30,9528.60,136.58K,0.69%
6/12/2014,9594.3,9594.30,9660.00,9594.30,610.29K,0.00%
6/13/2014,9660,9594.30,9725.70,9528.60,346.81K,0.68%
6/16/2014,9594.3,9725.70,9725.70,9594.30,244.33K,-0.68%
6/17/2014,9660,9594.30,9660.00,9594.30,188.09K,0.68%
6/18/2014,9725.7,9660.00,9725.70,9660.00,496.35K,0.68%
6/19/2014,9660,9660.00,9725.70,9594.30,307.69K,-0.68%
6/20/2014,9660,9660.00,9660.00,9594.30,262.91K,0.00%
6/23/2014,9660,9594.30,9660.00,9594.30,140.30K,0.00%
6/24/2014,9725.7,9660.00,9725.70,9594.30,449.61K,0.68%
6/25/2014,9660,9660.00,9725.70,9660.00,266.14K,-0.68%
6/26/2014,9594.3,9594.30,9725.70,9594.30,516.83K,-0.68%
6/27/2014,9594.3,9594.30,9660.00,9528.60,197.31K,0.00%
6/30/2014,9528.6,9594.30,9660.00,9528.60,419.11K,-0.68%
7/1/2014,9594.3,9528.60,9594.30,9462.90,327.42K,0.69%
7/2/2014,9528.6,9594.30,9594.30,9462.90,395.97K,-0.68%
7/3/2014,9660,9528.60,9660.00,9528.60,574.76K,1.38%
7/4/2014,9660,9660.00,9725.70,9594.30,614.77K,0.00%
7/7/2014,9660,9660.00,9725.70,9594.30,431.48K,0.00%
7/8/2014,9660,9660.00,9725.70,9594.30,582.01K,0.00%
7/9/2014,9725.7,9660.00,9725.70,9594.30,454.04K,0.68%
7/10/2014,9594.3,9725.70,9725.70,9594.30,599.26K,-1.35%
7/11/2014,9594.3,9660.00,9660.00,9528.60,329.20K,0.00%
7/14/2014,9660,9660.00,9660.00,9594.30,128.58K,0.68%
7/15/2014,9660,9660.00,9725.70,9594.30,543.24K,0.00%
7/16/2014,9660,9725.70,9791.40,9660.00,594.62K,0.00%
7/17/2014,9594.3,9594.30,9725.70,9594.30,275.42K,-0.68%
7/18/2014,9725.7,9594.30,9791.40,9594.30,700.71K,1.37%
7/21/2014,9660,9725.70,9791.40,9594.30,449.69K,-0.68%
7/22/2014,9594.3,9660.00,9660.00,9594.30,269.16K,-0.68%
7/23/2014,9594.3,9660.00,9660.00,9594.30,121.66K,0.00%
7/24/2014,9725.7,9594.30,9791.40,9594.30,707.75K,1.37%
7/25/2014,9594.3,9660.00,9725.70,9594.30,373.94K,-1.35%
7/28/2014,9594.3,9594.30,9660.00,9528.60,391.96K,0.00%
7/29/2014,9594.3,9594.30,9594.30,9528.60,219.24K,0.00%
7/30/2014,9528.6,9528.60,9660.00,9528.60,241.44K,-0.68%
7/31/2014,9660,9528.60,9660.00,9528.60,218.75K,1.38%
8/1/2014,9660,9660.00,9660.00,9594.30,242.39K,0.00%
8/4/2014,9594.3,9594.30,9660.00,9594.30,334.38K,-0.68%
8/5/2014,9660,9594.30,9660.00,9528.60,328.77K,0.68%
8/6/2014,9594.3,9660.00,9660.00,9594.30,158.34K,-0.68%
