Date,Price,Open,High,Low,Vol.,Change %
9/19/2014,14231,14692.00,14692.00,13846.00,4.88M,-3.14%
9/22/2014,14308,14385.00,14462.00,14308.00,256.28K,0.54%
9/23/2014,14769,14308.00,14846.00,14308.00,945.87K,3.22%
9/24/2014,14385,14538.00,14615.00,14385.00,1.60M,-2.60%
9/25/2014,14462,14385.00,14538.00,14308.00,183.37K,0.54%
9/26/2014,14385,14462.00,14538.00,14385.00,83.30K,-0.53%
9/29/2014,14615,14385.00,14692.00,14308.00,479.54K,1.60%
9/30/2014,14692,14615.00,14769.00,14538.00,1.67M,0.53%
10/1/2014,14692,14692.00,14769.00,14615.00,522.43K,0.00%
10/2/2014,14692,14615.00,14692.00,14538.00,408.53K,0.00%
10/3/2014,14462,14615.00,14615.00,14462.00,585.94K,-1.57%
10/6/2014,14692,14462.00,14692.00,14385.00,475.46K,1.59%
10/7/2014,14615,14615.00,14692.00,14462.00,239.59K,-0.52%
10/8/2014,14462,14462.00,14615.00,14462.00,112.02K,-1.05%
10/9/2014,14615,14462.00,14615.00,14462.00,320.09K,1.06%
10/10/2014,14462,14538.00,14692.00,14462.00,165.72K,-1.05%
10/13/2014,14308,14462.00,14615.00,14231.00,211.77K,-1.06%
10/14/2014,14000,14308.00,14385.00,14000.00,314.02K,-2.15%
10/15/2014,14538,14231.00,14538.00,14077.00,612.04K,3.84%
10/16/2014,14308,14538.00,14538.00,14000.00,949.65K,-1.58%
10/17/2014,14077,14231.00,14308.00,14000.00,667.04K,-1.61%
10/20/2014,14154,14077.00,14231.00,14077.00,707.36K,0.55%
10/21/2014,14077,14154.00,14154.00,14000.00,807.86K,-0.54%
10/22/2014,14077,14000.00,14154.00,14000.00,292.32K,0.00%
10/23/2014,14000,14077.00,14077.00,13923.00,487.11K,-0.55%
10/24/2014,14000,14000.00,14077.00,13923.00,151.97K,0.00%
10/27/2014,13846,14000.00,14000.00,13769.00,495.51K,-1.10%
10/28/2014,14077,13769.00,14077.00,13769.00,459.67K,1.67%
10/29/2014,14231,13923.00,14231.00,13923.00,326.65K,1.09%
10/30/2014,14308,14231.00,14308.00,14077.00,326.44K,0.54%
10/31/2014,14692,14308.00,14692.00,14154.00,1.26M,2.68%
11/3/2014,14692,15077.00,15077.00,14615.00,397.80K,0.00%
11/4/2014,14538,14538.00,14769.00,14538.00,308.14K,-1.05%
11/5/2014,14462,14385.00,14615.00,14385.00,256.97K,-0.52%
11/6/2014,14538,14462.00,14615.00,14462.00,193.91K,0.53%
11/7/2014,14538,14615.00,14615.00,14462.00,220.29K,0.00%
11/10/2014,14769,14615.00,14769.00,14462.00,411.14K,1.59%
11/11/2014,14692,14538.00,14846.00,14538.00,528.28K,-0.52%
11/12/2014,14692,14769.00,14846.00,14692.00,386.46K,0.00%
11/13/2014,14462,14615.00,14692.00,14462.00,147.91K,-1.57%
11/14/2014,14692,14462.00,14692.00,14385.00,248.27K,1.59%
11/17/2014,14538,14846.00,14846.00,14538.00,170.92K,-1.05%
11/18/2014,14231,14462.00,14538.00,14231.00,331.25K,-2.11%
11/19/2014,14308,14154.00,14385.00,14154.00,54.54K,0.54%
11/20/2014,14692,14308.00,14769.00,14308.00,414.96K,2.68%
11/21/2014,14615,14615.00,14769.00,14615.00,722.79K,-0.52%
11/24/2014,14385,14615.00,14615.00,14385.00,144.39K,-1.57%
11/25/2014,14462,14615.00,14615.00,14385.00,388.91K,0.54%
11/26/2014,14385,14462.00,14538.00,14385.00,936.23K,-0.53%
11/27/2014,14308,14308.00,14385.00,14231.00,91.82K,-0.54%
11/28/2014,14308,14538.00,14538.00,14231.00,102.51K,0.00%
12/1/2014,14462,14385.00,14462.00,14154.00,156.47K,1.08%
12/2/2014,14231,14308.00,14385.00,14231.00,93.29K,-1.60%
12/3/2014,14231,14231.00,14385.00,14231.00,93.95K,0.00%
12/4/2014,14308,14231.00,14538.00,14000.00,277.88K,0.54%
12/5/2014,14308,14538.00,14538.00,14308.00,219.53K,0.00%
12/8/2014,14231,14308.00,14385.00,14231.00,214.23K,-0.54%
12/9/2014,14000,14154.00,14231.00,14000.00,457.04K,-1.62%
12/10/2014,14000,13923.00,14000.00,13846.00,225.26K,0.00%
12/11/2014,13692,13846.00,14231.00,13692.00,665.73K,-2.20%
12/12/2014,14000,13923.00,14000.00,13846.00,33.01K,2.25%
12/15/2014,13846,14000.00,14077.00,13846.00,178.91K,-1.10%
12/16/2014,13615,13769.00,13846.00,13538.00,299.27K,-1.67%
12/17/2014,12846,13615.00,13692.00,12692.00,1.19M,-5.65%
12/18/2014,12308,12769.00,12846.00,12231.00,3.78M,-4.19%
12/19/2014,12231,12308.00,12385.00,11923.00,37.57M,-0.63%
12/22/2014,13077,12846.00,13077.00,12846.00,357.45K,6.92%
12/23/2014,13462,13308.00,13462.00,13077.00,1.93M,2.94%
12/24/2014,13462,13154.00,13462.00,13000.00,3.47M,0.00%
12/25/2014,13385,13462.00,13462.00,13231.00,1.15M,-0.57%
12/26/2014,13462,13308.00,13462.00,13154.00,1.54M,0.58%
12/29/2014,13385,13462.00,13462.00,13231.00,1.07M,-0.57%
12/30/2014,13846,13385.00,13846.00,13231.00,1.77M,3.44%
12/31/2014,13846,13769.00,13846.00,13692.00,1.94M,0.00%
1/5/2015,13462,13385.00,13692.00,13385.00,409.07K,-2.77%
1/6/2015,13692,13308.00,13923.00,13308.00,564.98K,1.71%
1/7/2015,13769,13769.00,13923.00,13615.00,814.24K,0.56%
1/8/2015,13923,13692.00,14077.00,13692.00,1.27M,1.12%
1/9/2015,14231,13923.00,14385.00,13923.00,1.96M,2.21%
1/12/2015,14615,14231.00,14769.00,14077.00,2.19M,2.70%
1/13/2015,14462,14462.00,14846.00,14385.00,1.03M,-1.05%
1/14/2015,14231,14385.00,14538.00,14154.00,974.75K,-1.60%
1/15/2015,14231,14231.00,14231.00,14000.00,712.76K,0.00%
1/16/2015,14154,14231.00,14462.00,14077.00,722.53K,-0.54%
1/19/2015,14308,14308.00,14462.00,14231.00,826.55K,1.09%
1/20/2015,14077,14231.00,14385.00,14077.00,227.92K,-1.61%
1/21/2015,14231,14308.00,14385.00,14154.00,575.63K,1.09%
1/22/2015,14462,14231.00,14538.00,14154.00,890.86K,1.62%
1/23/2015,14462,14462.00,14615.00,14385.00,1.38M,0.00%
1/26/2015,14308,14462.00,14462.00,14231.00,488.87K,-1.06%
1/27/2015,14077,14231.00,14462.00,14000.00,1.04M,-1.61%
1/28/2015,14923,14077.00,15000.00,13923.00,3.65M,6.01%
1/29/2015,14769,15000.00,15231.00,14692.00,1.80M,-1.03%
1/30/2015,14615,14538.00,14769.00,14462.00,1.37M,-1.04%
2/2/2015,14154,14385.00,14462.00,14077.00,1.21M,-3.15%
2/3/2015,13231,14154.00,14154.00,13231.00,2.41M,-6.52%
2/4/2015,13769,13231.00,13769.00,12923.00,1.69M,4.07%
2/5/2015,13769,13538.00,13923.00,13538.00,419.38K,0.00%
2/6/2015,13846,13538.00,13846.00,13538.00,156.44K,0.56%
2/9/2015,13769,13692.00,14077.00,13692.00,786.77K,-0.56%
2/10/2015,13846,13846.00,14000.00,13846.00,502.88K,0.56%
2/11/2015,14308,13846.00,14308.00,13846.00,1.09M,3.34%
2/12/2015,14462,14308.00,14615.00,14231.00,1.44M,1.08%
2/13/2015,14692,14462.00,14846.00,14462.00,2.12M,1.59%
2/24/2015,14769,14692.00,14769.00,14615.00,675.69K,0.52%
2/25/2015,14846,14769.00,15385.00,14769.00,2.38M,0.52%
2/26/2015,15077,14846.00,15154.00,14846.00,1.05M,1.56%
2/27/2015,14923,15154.00,15231.00,14923.00,1.74M,-1.02%
3/2/2015,14923,15000.00,15000.00,14769.00,1.97M,0.00%
3/3/2015,14923,15000.00,15077.00,14923.00,1.66M,0.00%
3/4/2015,15000,14923.00,15000.00,14923.00,1.34M,0.52%
3/5/2015,14846,15000.00,15000.00,14769.00,1.18M,-1.03%
3/6/2015,15077,14846.00,15308.00,14846.00,3.07M,1.56%
3/9/2015,15385,15231.00,15692.00,15154.00,3.73M,2.04%
3/10/2015,15231,15462.00,15462.00,15231.00,1.22M,-1.00%
3/11/2015,15692,15615.00,15923.00,15462.00,5.00M,3.03%
3/12/2015,15692,15692.00,15692.00,15462.00,1.99M,0.00%
3/13/2015,15385,15692.00,15769.00,15385.00,2.52M,-1.96%
3/16/2015,14923,15231.00,15231.00,14769.00,2.07M,-3.00%
3/17/2015,14923,14769.00,15000.00,14769.00,931.10K,0.00%
3/18/2015,14769,14923.00,14923.00,14769.00,949.34K,-1.03%
3/19/2015,14615,14769.00,14769.00,14462.00,5.03M,-1.04%
3/20/2015,14769,14615.00,15000.00,14615.00,5.31M,1.05%
3/23/2015,14769,14923.00,15077.00,14615.00,2.47M,0.00%
3/24/2015,14615,14692.00,14692.00,14462.00,1.73M,-1.04%
3/25/2015,14692,14615.00,14846.00,14538.00,2.32M,0.53%
3/26/2015,14692,14692.00,14846.00,14615.00,1.73M,0.00%
3/27/2015,14692,14692.00,14769.00,14231.00,2.67M,0.00%
3/30/2015,14385,14462.00,14615.00,14385.00,1.53M,-2.09%
3/31/2015,14385,14385.00,14538.00,14385.00,1.07M,0.00%
4/1/2015,14385,14385.00,14385.00,14154.00,2.22M,0.00%
4/2/2015,14385,14385.00,14538.00,14154.00,879.84K,0.00%
4/3/2015,14462,14462.00,14462.00,14231.00,1.02M,0.54%
4/6/2015,14308,14615.00,14615.00,14308.00,655.49K,-1.06%
4/7/2015,14231,14308.00,14385.00,14077.00,1.36M,-0.54%
4/8/2015,14231,14308.00,14462.00,14231.00,1.41M,0.00%
4/9/2015,14308,14231.00,14462.00,14231.00,748.12K,0.54%
4/10/2015,14385,14385.00,14538.00,14231.00,1.41M,0.54%
